run_id,pattern_id,Ave P,CC-Ave P,CCH-P,CCTF-P,Ave CT,CC-Ave CT,CCH-CT,CCTF-CT,Ave RD,CC-Ave RD,CCH-RD,CCTF-RD,Ave CGT,CC-Ave CGT,CCH-CGT,CCTF-CGT,Ave CCU,CC-Ave CCU,CCH-CCU,CCTF-CCU,CCC Score
4,4,3.769675809,3.719969378,0.224499864,0.244908289,3.752255449,3.774254838,0.123271155,0.147577871,3.312155961,3.238438997,0.187045857,0.322161276,3.787494136,3.840442301,0.158600344,0.112771689,2.382357845,2.350671285,0.094181918,0.183955422,0.183333333
7,3,3.917794085,3.927234168,0.047983772,0.153877132,3.76316559,3.749290388,0.147999602,0.116579797,3.262176257,3.239355678,0.331143789,0.378100798,3.742406395,3.740056726,0.132222939,0.271258558,2.527999608,2.545888812,0.12107082,0.273857212,0.247916667
53,1,3.781947509,3.762756269,0.240976127,0.194561616,3.755208577,3.757967893,0.141481798,0.079566461,3.320894234,3.241310091,0.26186644,0.36031371,3.88176911,3.897039313,0.153028773,0.13798079,2.361273008,2.370105269,0.198703956,0.198788755,0.128125
31,3,3.619128825,3.55840257,0.513562061,0.231126742,3.744050115,3.746301307,0.122617666,0.119127854,3.233943153,3.242957716,0.32639083,0.306106994,3.808074616,3.859906204,0.238803872,0.147789577,2.558785663,2.5405814,0.090602241,0.232686204,0.070416667
60,4,3.994787319,4.013955216,0.077090465,0.067992177,3.822729448,3.807302241,0.149016725,0.129743432,3.324933521,3.245146144,0.170178098,0.252954964,3.526718835,3.558834539,0.09432688,0.207983438,2.77835215,2.76900114,0.04077718,0.173761192,0.265724206
84,4,3.867102903,3.779909315,0.364684576,0.19508743,3.702963218,3.697253932,0.101261611,0.133062715,3.175987545,3.245947144,0.22187159,0.36950122,3.679867621,3.634588725,0.223738203,0.473204812,2.616520561,2.641047524,0.088708419,0.305008925,0.267410714
59,3,3.898229308,3.844644455,0.295025726,0.199657093,3.748310743,3.738614964,0.048196163,0.093990323,3.308478459,3.253260728,0.223548101,0.317528036,3.52584516,3.548570202,0.242034157,0.272234334,2.742786858,2.740031252,0.072040103,0.299937825,0.25
27,3,3.97225959,3.963809523,0.066901774,0.126553078,3.752556903,3.761652228,0.085680674,0.161966761,3.227175812,3.253278551,0.325299597,0.402335097,3.725333292,3.751112067,0.119827683,0.209884597,2.464081533,2.445962071,0.071730838,0.220390233,0.303125
77,1,3.884328864,3.88798621,0.07137771,0.08136512,3.732818837,3.7323368,0.121169174,0.132333736,3.259346696,3.259812241,0.056258776,0.285924253,3.503935237,3.616669085,0.337807468,0.152782421,2.910049502,2.911235429,0.106622798,0.303244754,0.268377976
80,4,3.944896604,3.930388656,0.075242505,0.127561129,3.763792595,3.779215507,0.098404911,0.035062083,3.275339989,3.259940685,0.29827682,0.446106254,3.69243358,3.73182261,0.197283471,0.21902562,2.496352017,2.474660056,0.087777663,0.216104096,0.365625
54,2,3.81602376,3.810660627,0.174807037,0.197627989,3.728036205,3.709153201,0.081054029,0.065045677,3.288538605,3.260286615,0.287293308,0.332938438,3.862846141,3.914676517,0.168760188,0.089463655,2.394117714,2.37878042,0.064456839,0.127442736,0.239166667
26,2,3.855494674,3.852880474,0.133569513,0.176827232,3.776572365,3.755993002,0.202868935,0.186138875,3.338458212,3.269159077,0.266523012,0.262309177,3.52043985,3.565158349,0.296007234,0.242708443,2.846110157,2.813968699,0.223863429,0.17155919,0.349583333
19,3,3.710892861,3.674235458,0.313099421,0.192438257,3.669914477,3.654073611,0.123138119,0.120555469,3.267391671,3.272324914,0.379214933,0.324319042,3.73081732,3.81275182,0.238860503,0.118031372,2.558526551,2.558798029,0.075619649,0.160259059,0.223333333
29,1,3.741121193,3.685284125,0.206154133,0.182864481,3.758302774,3.747055036,0.094249415,0.111322085,3.306208624,3.273681088,0.142518634,0.200092089,3.80875924,3.885402795,0.222155232,0.099714162,2.356705897,2.347915041,0.076652754,0.181908673,0.135833333
51,3,3.978091928,3.979358633,0.0660753,0.134558747,3.704856482,3.701796148,0.134661021,0.085570158,3.248867884,3.274070052,0.120135887,0.501174763,3.652597333,3.696068419,0.200570801,0.098263275,2.691068329,2.676138793,0.074911437,0.210553786,0.341741071
