run_id,pattern_id,is_proximal,has_informal,psychological_safety,psych_leader,psych_colleague,psych_team,task_cohesion,sum_sum_interaction,sum_sum_active_interaction,sum_sum_passive_interaction,output_score_ave,output_score_dept0,output_score_dept1
60,4,1,1,5.245199840333329,5.28631228434926,5.38363091091653,4.7988566769247285,5.4997497261800365,0,0,0,3.8915789,4.024573871,3.758583929
61,1,0,0,5.280198268368059,5.373769869447207,5.368322922485888,4.793859272189011,5.504684359138506,0,0,0,3.8863832455000002,3.914429687,3.858336804
62,2,1,0,5.218157982621789,5.377907154146195,5.2917137976118624,4.567280233071734,5.4813266143964725,0,0,0,3.9178135139999997,3.948876139,3.886750889
63,3,0,1,5.259220611190812,5.363643791553609,5.354237530392696,4.724244925298023,5.442662437778006,0,0,0,3.9312160105,3.895843845,3.966588176
64,4,1,1,5.255375527953056,5.355239461000378,5.329148881876682,4.7836459029893,5.505406449417235,2,1,1,3.7862864575,3.841252502,3.731320413
65,1,0,0,5.234477543011031,5.293626829825841,5.39111405276405,4.691544493142886,5.375133855922769,0,0,0,3.9100594954999996,3.990796534,3.829322457
66,2,1,0,5.223769408802004,5.300187026731249,5.348310869887191,4.703919812482165,5.360368599515016,0,0,0,3.9383359425,3.948180606,3.928491279
67,3,0,1,5.2630240908932535,5.332088974509475,5.359279506006678,4.831233471446599,5.541049777811674,0,0,0,3.906638308,3.832328608,3.980948008
68,4,1,1,5.252074003267725,5.337162752260925,5.333622076601783,4.806528918508661,5.5136075956700195,0,0,0,3.8913964925,3.879974458,3.902818527
69,1,0,0,5.168056964134445,5.241517466706595,5.2765873814782145,4.694437815949203,5.378354359986448,0,0,0,3.8649801445,3.817087452,3.912872837
70,2,1,0,5.2678617488848385,5.360380277135507,5.352157874844705,4.793615203559811,5.6064479228612845,0,0,0,3.8242108244999997,3.816891836,3.831529813
71,3,0,1,5.258550358630258,5.328189112213133,5.346454954606942,4.844523373936035,5.48888964488061,0,0,0,3.8116819825,3.842093863,3.781270102
72,4,1,1,5.2464384579107,5.320531992315464,5.365024634020124,4.747456777107755,5.499415831955962,0,0,0,4.010079421,4.017769429,4.002389413
73,1,0,0,5.159649801792628,5.186150759926504,5.378791935656722,4.568815281708115,5.4412490413729335,0,0,0,3.9406782115,3.88871458,3.992641843
74,2,1,0,5.26066896046239,5.395782595381682,5.322529018187587,4.710987921012387,5.377292991525619,0,0,0,4.056299989499999,4.219622057,3.892977922
75,3,0,1,5.268430363160993,5.348701205048672,5.4148511920022315,4.685969236868394,5.494543100795924,0,0,0,3.927750916,3.931922886,3.923578946
76,4,1,1,5.16884603825117,5.277480330075229,5.240568731649574,4.675590211516047,5.613439694780486,0,0,0,3.9015356165,3.842103241,3.960967992
77,1,0,0,5.133446298122649,5.1795353073037385,5.2640577833161775,4.690419138461152,5.407011430767952,0,0,0,3.8790808555,3.813178482,3.944983229
78,2,1,0,5.217525608723376,5.302238455886845,5.3169440943207364,4.731410600839128,5.40949299494209,0,0,0,3.83429666,3.816949585,3.851643735
79,3,0,1,5.200551812834277,5.248585907067161,5.357800653053653,4.689535569623744,5.349378088040808,0,0,0,3.796043627,3.76864708,3.823440174
80,4,1,1,5.2271233562564605,5.300907229627462,5.307038113095247,4.819303970186285,5.5054743466764835,0,0,0,3.8798870880000003,3.865427947,3.894346229
81,1,0,0,5.167375487050308,5.23101158594945,5.26336413813071,4.7524936711652845,5.314218810020136,0,0,0,3.815878605,3.77758597,3.85417124
82,2,1,0,5.17185599478776,5.29141949176139,5.235290106652181,4.665152576183216,5.493487976750272,2,1,1,3.877595709,3.8642789,3.890912518
83,3,0,1,5.157022371487115,5.21240444064164,5.273705670064449,4.718615134009765,5.455122169354934,4,2,2,3.8128997905,3.784878057,3.840921524
84,4,1,1,5.186311984251816,5.268895309354209,5.30892956752218,4.652454314647118,5.519388163375216,4,2,2,3.8991800679999997,3.804229044,3.994131092
85,1,0,0,5.20564558070111,5.233227251130519,5.357149806210809,4.769390709890254,5.5405758433807835,0,0,0,3.81285863,3.858285373,3.767431887
86,2,1,0,5.26429231999983,5.340337388247462,5.401957845593457,4.714937555538472,5.576351166898259,0,0,0,3.7986713749999996,3.847070776,3.750271974
87,3,0,1,5.31080491056609,5.467938111737287,5.367271883787867,4.707649036201689,5.4490508934850235,0,0,0,3.8844645305,3.970221861,3.7987072
88,4,1,1,5.16256514664461,5.258549691796693,5.2784996855913375,4.604097586979331,5.376111754230124,4,2,2,3.8776939855,3.951775243,3.803612728
89,1,0,0,5.301373352319863,5.419585072993693,5.387682852834074,4.745349355765214,5.4441682003905925,0,0,0,3.8110939405,3.785197619,3.836990262
90,2,1,0,5.259867771027245,5.359734259098388,5.376517325750712,4.688086012459054,5.543428332018434,0,0,0,3.838896306,3.846821686,3.830970926
91,3,0,1,5.256660442791615,5.361726275837801,5.301211627583238,4.83751017913927,5.6324850609467205,0,0,0,3.865561905,3.913607181,3.817516629
92,4,1,1,5.32115453444134,5.436599664944297,5.365205710778134,4.8720330648132775,5.450658207352506,0,0,0,3.8752340050000003,3.963140858,3.787327152
93,1,0,0,5.204436746738302,5.284423131885625,5.351874782541886,4.620455507754635,5.564655339864555,0,0,0,3.9502427445,4.059791319,3.84069417
94,2,1,0,5.18220324672707,5.282423724065007,5.325038019466858,4.548260678320418,5.465560516487099,2,1,1,3.9579009889999996,3.989231748,3.92657023
95,3,0,1,5.222452740019497,5.306070248067162,5.303229408565286,4.783121322602992,5.607729864326944,0,0,0,3.820308241,3.79795365,3.842662832
96,4,1,1,5.273967355505765,5.407684559618201,5.343529125824773,4.710504945757441,5.632365783746752,0,0,0,3.864994452,3.885768917,3.844219987
97,1,0,0,5.169139825968967,5.2632665745765825,5.303833647275302,4.5724739970980055,5.58100628439085,0,0,0,3.9062886565,3.881866059,3.930711254
98,2,1,0,5.195993674366869,5.294309219331782,5.318007692826014,4.616347663067455,5.5156843883070055,2,1,1,3.9181402999999997,4.016739743,3.819540857
99,3,0,1,5.157274033728078,5.226497061325752,5.338636083506403,4.526426834785633,5.543775148410609,0,0,0,3.7620377735,3.777826716,3.746248831
100,4,1,1,5.214273355803121,5.285985680768559,5.401051729617209,4.563320175340597,5.456382857500059,2,1,1,3.8184740794999996,3.82262488,3.814323279
