run_id,pattern_id,agent_id,dept_id,is_proximal,has_informal,sum_interaction,psychological_safety,psych_leader,psych_colleague,psych_team,task_cohesion,output_score_ave,output_score_dept0,output_score_dept1,position,sum_active_interaction,sum_passive_interaction
82,2,0,0,1,0,0,5.118004762237996,5.142810964496915,5.372345440499922,4.450124572850087,5.187056621766251,3.877595709,3.8642789,3.890912518,General Member,0,0
82,2,1,0,1,0,0,5.385260564793674,5.396944208423177,5.55986973908293,4.942788227230235,5.620104051122639,3.877595709,3.8642789,3.890912518,General Member,0,0
82,2,2,0,1,0,0,5.040097802699329,5.199298556453522,5.192212727484076,4.207560716939003,5.469368313331173,3.877595709,3.8642789,3.890912518,General Member,0,0
82,2,3,0,1,0,0,5.148896930166764,5.305759655357875,5.268586110325824,4.399034000888957,5.588030789154609,3.877595709,3.8642789,3.890912518,General Member,0,0
82,2,4,0,1,0,0,5.176692942354105,5.212700293641197,5.294748778583761,4.793207270623631,5.491188642406769,3.877595709,3.8642789,3.890912518,General Member,0,0
82,2,5,0,1,0,0,5.039111126583571,5.049405421236957,5.292508627969671,4.41696740605585,4.957254054717424,3.877595709,3.8642789,3.890912518,General Member,0,0
82,2,6,0,1,0,0,5.408592990794286,5.527661251033917,5.428893860022672,5.00401951520916,5.702844450961425,3.877595709,3.8642789,3.890912518,Department Leader,0,0
82,2,7,1,1,0,0,5.1037402014618785,5.240134503040862,5.21602970772471,4.432548448778325,5.354551768858952,3.877595709,3.8642789,3.890912518,General Member,0,0
82,2,8,1,1,0,0,5.118862521481415,5.363580287285512,5.4104231907876805,3.704400995687842,5.629575717783822,3.877595709,3.8642789,3.890912518,General Member,0,0
82,2,9,1,1,0,0,5.1275073032346885,5.140177146338405,5.2481545494254185,4.807987532811832,5.541372387191684,3.877595709,3.8642789,3.890912518,General Member,0,0
82,2,10,1,1,0,0,5.104932687794808,5.2552218534769,5.038379429177962,4.809356127521166,5.65309846755819,3.877595709,3.8642789,3.890912518,General Member,0,0
82,2,11,1,1,0,0,5.200676090412791,5.273184251966303,5.40366771886228,4.509504472703447,5.379747626652959,3.877595709,3.8642789,3.890912518,General Member,0,0
82,2,12,1,1,0,0,5.199151017231555,5.316561694191687,5.250519421135719,4.72705937724144,5.485059913884923,3.877595709,3.8642789,3.890912518,General Member,0,0
82,2,13,1,1,0,0,5.34301243659541,5.550380789675624,5.328625101998263,4.754477824748108,5.636559874432006,3.877595709,3.8642789,3.890912518,Department Leader,0,0
83,3,0,0,0,1,1,5.160553777767823,5.166651011321907,5.266293853251565,4.895535234310171,5.485565926673599,3.8128997905,3.784878057,3.840921524,General Member,1,0
83,3,1,0,0,1,0,5.229054325776548,5.317820731240312,5.242870190619641,4.930518091418033,5.622952731889267,3.8128997905,3.784878057,3.840921524,General Member,0,0
83,3,2,0,0,1,0,5.237483422162711,5.541667488062604,5.0269828847161975,4.816099145171563,4.750907548237297,3.8128997905,3.784878057,3.840921524,General Member,0,0
83,3,3,0,0,1,0,5.328738252580465,5.501616984282574,5.506596242976933,4.395100079882381,5.728407539275979,3.8128997905,3.784878057,3.840921524,General Member,0,0
83,3,4,0,0,1,0,5.364161597719667,5.4635211415667255,5.396585615102475,4.990426925618607,5.6915775853442,3.8128997905,3.784878057,3.840921524,General Member,0,0
