Folder,Y_Variable,X_Variable,Slope(Beta),Intercept,R_squared,p_value,Significance,N
01_全体傾向\X_Ave_RD,Ave DGT,Ave RD,-0.31544511815588316,4.600175322511444,0.07928704281109679,0.004538905575072803,**,100
01_全体傾向\X_Ave_RD,Ave CDU,Ave RD,0.31395522283544536,1.6285045571499837,0.05075623829555077,0.024218439057834818,*,100
01_全体傾向\X_Ave_CGT,Ave P,Ave CGT,-0.2191238141531087,4.663271193241389,0.0714087101925534,0.007194463059809032,**,100
01_全体傾向\X_Ave_CGT,Ave CT,Ave CGT,-0.06918218390754415,3.9961169770742524,0.03086619138408715,0.08039202455563732,(n.s.),100
01_全体傾向\X_Ave_CGT,Ave RD,Ave CGT,-0.2611706910845369,4.2303179037863075,0.064156865410503,0.011000475703938653,*,100
01_全体傾向\X_Ave_CGT,Ave CCU,Ave CGT,-1.0871083875654013,6.633880623885197,0.6570706880157683,1.6565344847952507e-24,***,100
01_全体傾向\X_Ave_CGT,Ave DGT,Ave CGT,0.9977101293203078,-0.12267057368324341,0.7460322850142576,6.331710509741611e-31,***,100
01_全体傾向\X_Ave_CGT,Ave CDU,Ave CGT,-1.0649401319417708,6.595364779908979,0.5492861529114517,1.1829575099944724e-18,***,100
01_全体傾向\X_Ave_CCU,Ave P,Ave CCU,0.14312134829173687,3.4786216024859242,0.054791661271771284,0.019078336119737766,*,100
01_全体傾向\X_Ave_CCU,Ave CT,Ave CCU,0.04628331041470813,3.6192351031871794,0.024847170364320527,0.11728083208654344,(n.s.),100
01_全体傾向\X_Ave_CCU,Ave RD,Ave CCU,0.20123383769078743,2.7383689444205497,0.06850620015163025,0.008526267464152203,**,100
01_全体傾向\X_Ave_CCU,Ave CGT,Ave CCU,-0.6044205854094179,5.27913306835559,0.6570706880157683,1.6565344847952507e-24,***,100
01_全体傾向\X_Ave_CCU,Ave DGT,Ave CCU,-0.7273358681066738,5.468739128232358,0.7131033371676814,2.543676223949359e-28,***,100
01_全体傾向\X_Ave_CCU,Ave CDU,Ave CCU,1.0369353409163968,-0.05283646292071431,0.9366669917143201,1.581281250440415e-60,***,100
01_全体傾向\X_Ave_DGT,Ave P,Ave DGT,-0.021962722343312244,3.9305264964878592,0.0009571841844697444,0.7599340682853558,(n.s.),100
01_全体傾向\X_Ave_DGT,Ave CT,Ave DGT,-0.021017612638467156,3.815061685618281,0.003801127327450715,0.5422847852467771,(n.s.),100
01_全体傾向\X_Ave_DGT,Ave RD,Ave DGT,-0.2513497221786631,4.160998117219172,0.07928704281109679,0.004538905575072803,**,100
01_全体傾向\X_Ave_DGT,Ave CGT,Ave DGT,0.7477445232740032,1.0318812155416213,0.7460322850142576,6.331710509741611e-31,***,100
01_全体傾向\X_Ave_DGT,Ave CCU,Ave DGT,-0.9804319688288697,6.110397522451034,0.7131033371676814,2.543676223949359e-28,***,100
01_全体傾向\X_Ave_DGT,Ave CDU,Ave DGT,-0.8862664213230863,5.817706769244509,0.5076074584278086,9.366981743627608e-17,***,100
01_全体傾向\X_Ave_CDU,Ave P,Ave CDU,0.16707958597873543,3.408825410594174,0.08571770766733545,0.003116461785210663,**,100
01_全体傾向\X_Ave_CDU,Ave CT,Ave CDU,0.04469933970750491,3.621421980207072,0.026604093266114664,0.104921663052732,(n.s.),100
01_全体傾向\X_Ave_CDU,Ave RD,Ave CDU,0.1616671251306236,2.8345799148265316,0.05075623829555077,0.024218439057834818,*,100
01_全体傾向\X_Ave_CDU,Ave CGT,Ave CDU,-0.5157906406531085,5.070310608418023,0.5492861529114517,1.1829575099944724e-18,***,100
01_全体傾向\X_Ave_CDU,Ave CCU,Ave CDU,0.9033031807812973,0.21299792293741326,0.9366669917143201,1.581281250440415e-60,***,100
01_全体傾向\X_Ave_CDU,Ave DGT,Ave CDU,-0.5727481558762133,5.090277045398633,0.5076074584278086,9.366981743627608e-17,***,100
